summary,description,timespent
support ldap bind authentication,metron currently support remote compare operation password support bind authentication commonly used ldap implementation like active directory,3000.0
improve stellar zeppelin documentation,add note link detailing zeppelin party interpreter installation mechanism,1800.0
regularexpressionsparser wrong source folder,regularexpressionsparser moved test directory src,1800.0
allow user configure role name access control,using ldap user define role named user user level access admin administrative access configurable user create role name choosing,1800.0
ui turning initial search request polling default alert ui,metron alert ui default search everything login also default refresh rate min search activated every time user login metron alert ui causing heavy load elastic search result slows ra indexing furthermore refresh rate sends another search request even first search result returned wait first query finish changing refresh rate,2400.0
improve metron rest logging,bad request submitted rest api often indication error response code get back make difficult troubleshoot problem add feature make life ui team others difficult need think following enhancement would helpful every request received rest api along header body logged every response returned rest api logged instruction provided turn debug logging rest api deployed example turn debug logging full dev,1800.0
bro plugin docker data processing script incorrectly run bro,script modified use xargs instead find exec order exit nonzero bro encountered failure parsing provided pcap file case causing parsing error xargs command providing output find command bro twice shown effective command run removing find xargs bro error line unrecognized character unknown identifier near fix simplify command allow pcap provided solely end bro call,1800.0
add architectural documentation,task based discussion follow architectural documentation needed writer module,3000.0
unable build metron due inaccessible repository,clearing maven cache unable build metron due inaccessible maven repository,1800.0
reenable jacoco code coverage,got disabled get reenabled working build,1800.0
bro plugin kafka workdir unspecified,currently attempt attach kafka container using fail hard code root working directory container user kafka root running kafka oci runtime exec failed starting container process caused chdir cwd root set config json failed permission denied unknown,1800.0
fix bro plugin docker line counting,currently http metric shown end identified log number line expect http match,2400.0
bro plugin docker exit nonzero encounter issue,currently even bro command exit zero properly passed along noted end well exit nonzero,2400.0
upgrade alert ui stable bootstrap,like management ui upgrade version bootstrap using latest stable version currently alpha version includes deprecated class name value,2400.0
improve error handling connect hbase,batch profiler running spark open connection hbase following exception thrown indicate user cause problem hbase connectivity error handling hbaseclient likely need improved debug hbasewriterfunction write profile hbase error tasksetmanager task stage failed time aborting job exception thread main job aborted due stage failure task stage failed time recent failure lost task stage tid localhost executor driver java lang nullpointerexception caused java lang nullpointerexception driver stacktrace method caused java lang nullpointerexception,1800.0
upgrade alert uis,npm audit security report run npm update depth resolve vulnerability high missing origin validation package dependency dev path info found high severity vulnerability scanned package run npm audit fix fix,2400.0
knox work installation,discovered fewissues deploying metron environment enabling knox metron script resource need installed metron client component flag used determine metron knox asset installed work correctly knox installed metron client knox host need added sso whitelist,1800.0
parser configuration packaged wrong place,common,1800.0
commit script fails extract usernames numeral,script extract ruffle extracted,1800.0
update version,need update version ongoing development post release,2400.0
update public web site point new release,need update site reflect release,2400.0
stellar built without error prone message,fix many error prone message build clean,1800.0
update dev utility support new repo location,move gitbox location repository changed need changed current metron script well related mailing list thread,1800.0
update alert ui,running npm audit alert ui look like need update version,1800.0
stellar classpath function resolver handle classnotfoundexception,stellar executed environment dependency available function provided stellar common happens classpath resolver even youdo use function missing dependency example exception thrown dependency available new rest function attempting use rest function happens classpath function resolver allow use whichever function loaded correctly,1800.0
drop table doesnt work view jdbc table,jdbctable amutabletable amutabletable different tabletype including table view jdbcdroptablebuilder line build sql statement drop table work mutabletable tabletype view investigated issue type datastores jdbc,3000.0
allow searching list type map clause,schema like id address borough cuisine grade grade list map element like execute query like failing line mongodbcontext class final column update real issue mongodb specific yet support traversing object like support map even also value type outer type,2400.0
agent silently ignores isolation protobuf malformed,cc accidentally set mesos containerinfo include dockerinfo instead mesosinfo would expected validation error containerization instead agent silently decided ignore filesystem isolation altogether launch executor host filesystem,2400.0
property like including excluding filter could useful,clientexcludes clientincludes property introduced patch see opinion helpful parametrisation client jar creation usage plugin configuration archive manifest archive configuration plugin regard jubu,1800.0
eclipse output directory configurable would nice pick something,output directory eclipse eclipse us configurable chatted jdcasey irc hchirino really spit output jdcasey maybe kenney sure jason trygvis made first version lot work hchirino problem could save file compiler error eclipse build build succeeds since eclipse writes class file even though error jdcasey yikes jdcasey yeah eclipse us bin default iirc jdcasey separate maven generated class eclipse one past hchirino yep hchirino maven clean default many time editing eclipse add extra stuff sometimes hchirino big debate mind use different folder eclipse target word clean wipe eclipse class file every time happens big eclipse refresh take forever hchirino wanted eclipse provides clean feature hchirino eclipse plugin live hchirino perhaps hack bit jdcasey hchirino eclipse plugin jdcasey put classfiles default eclipse bin dir keep separate maven target dir personally hchirino yeah leaning towards jdcasey touched make another filter svn commits though jdcasey point deviating default get anything right hchirino guess could put bin attaching patch make configurable,1800.0
sould possible add additional classpath entry plugin configuration,case using code generation plugin like xmlbeans way adding generated artifact additional classpath entry eclipse project today project using xmlbeans valid eclipse project due file generated jar hopefully fixed xmlbeans plugin would anyhow nice feature eclipseplugins example configuration additionalclasspathentries configuration,2700.0
regression get goal pas server credential basicrepositoryconnector,get goal pas server credential setting xml basicrepositoryconnector version presumably resulting notauthorized error resolving artifact repository require authentication work correctly version background discovered course debugging jenkins job im using get copy goal command line pom download artifact deploy spending several hour thinking jenkins properly configuring setting xml noticed maven debug output credential passed resolving dependency passed resolving artifact requested hunch downgraded version suddenly everything magically worked,2400.0
fails resolve artifact available maven reactor,attached example project imo able resolve dependency intermodule dependency within multimodule project havent installed yet available maven reactor considered resolvable offline mode instead fails resolve dependency,2400.0
link wiki dead,link point wiki dead,2400.0
also allow inline configuration reporting,allows inline configuration checkstyle rule extremly helpful want inherit checkstyle configuration parent pom sadly possible configure report target way would great handling added would added reporting goal,1800.0
changelog xml somehow expire,running changelog report new set parameter changelog xml exists would cause changelog still use existing changelog xml already expired since parameter changed three way fix incorporate running parameter within xml succeeding run check content still valid deleting file site generation way xml cache used run set timeout make expire certain period time,1800.0
millerupdatingregression arrayindexoutofbounds calling regress variablestoinclude parameter,performing regression subset predictor arrayindexoutofbounds exception occur certain subset selection example appears happen consistently regression without constant term predictor index selected understand algorithm used reorder predictor subset requested fix appears simple correction indexing range regress method millerupdatingregression java patch expanded unit test follow shortly,1800.0
use exception control flow,several occurrence exception used control flow code block trying cast object someclass changed,2400.0
assembly utilize provide manifest configuration,date mon oct brett porter maven user list subject manifest assembly yes thats issue assembly plugin corresponding jira issue please file one brett michael heuer wrote hello followed guide add entry manifest mf work fine mvn package however seems assembly plugin reuse configuration information building jar im left default manifest jar michael,1800.0
new branch website directory rename infra,based comment need either create new branch called rename site directory content since already separate website repo project repo think dont need create new branch submit pr renaming site directory,2400.0
travis ci stuck sbt project loading fails,failed checking latest master merge way fix indicate batch mode since already implement retry instead stuck,2400.0
ldpath loosing quote stringconstants serialisation,tested en,1800.0
allow security profile build profile,profile posiblity load rule profile,2700.0
autowired ldpath function superclass still called lmfldpathfunction,renamed marmottaldpathfunction,1320.0
rename package,maven plugins marmotta platform archetype,3300.0
clean,functionality moved ldclient clean module,2580.0
allow injection stackablesail provider,properly separating different component cdi necessary allow injecting service offer additional stackable sail wrapped around triple store versioning done implementing service interface offer constructor method stackable sail different point sail stack,2640.0
merge pull request bitbucket,peter ansell contributed number improvement old bitbucket repository merged current source code,2580.0
add scm tag pom xml per asf release guideline,pretty adament scm tag pom since project pretty complicated structure adding tag back stay guideline,1800.0
default source distribution created,make behavior stop seems default behavior want source distribution assembled distribution distribution directory target contain assembled disrtribution described pom,1800.0
invalidcastexception pendingterm cast pendingblock,exception call stack issue quite appears adding document term concurrently managed make clear test reproduces issue made research found cause issue duplicate term bytesrefhash structure bytesrefhash using hashingalgorithm random seed see property could return different value called insevereal thread one moment could result duplicate value bytesrefhash value return different hash hash calcucated different another issue used randomize seed could return value treated uninitialized call return another value issue could easely fixed moving static ctor ofstringhelper make fix issue,3000.0
never cache docvaluesfieldexistsquery,currently docvaluesfieldexistsquery cachedif dv update field question query pretty efficient experiment show caching result might much expensive benefit get caching result example indexing million document long value executing query without caching take around run caching take around run size cache around wonder never cache query seems overhead caching result worthy,1800.0
longer verify checksum tip file opening term dict,currently verify checksum tip file opening term dictionary made sense would load fst load maybe verify integrity checkintegrity instead like file dont read eagerly,1800.0
latlonshape circle query detect crossing dateline,actually oversight original pr support crossing dateline added lost refactor class added,1800.0
xypointfield adapt latlonpoint field type query shape,issue explore generalizing latlonpoint field latlonpoint query non geospatial cartesian coordinate system lucene provide index search capability general cartesian point non gi type use case,1800.0
bug,current implementation return point lie inside triangle return instead,1800.0
xygeometries use float instead double,xygeometries xypolygon xyline xyrectangle xypoint bit initialised using float returning value returned double addition xyrectangle seems work double issue proposed harmonise class work float class move core released ok change interface,1800.0
add validation xygeometries,currently creating xy geometry proper validation particular check nan inf inf value allowed,3000.0
interval multiterm take compiledautomaton,added multiterm factory method interval accepts arbitrary automaton convert internally compiledautomaton isnt necessarily correct behaviour however automaton defined binary unicode space there way telling come compiling particular automaton produced fuzzytermsenum need convert unicode compilation multiterm factory take compiledautomaton directly deprecate method take automaton remove master,1800.0
adding compression binarydocvalues storage,sortedsetdocvalues used today store identical value compact form effective data many unique value proposal thatbinarydocvalues stored compressed block dramatically reduce disk storage cost many case proposal block number document stored single compressed blob along metadata record offset original document value found uncompressed content there efficient compression better compression fast retrieval time fewer faster read access single fixed block size doc seems like would reasonable compromise scenario pr review,1800.0
remove assert highcompressionhashtable,slowest method lucene test see mean look checking value every time assert called,2400.0
testestimatepointcount failure changing number indexed point,test create situation one leaf node test handle situation properly,2400.0
synonym boost payload,working additional capability boosting query term payload parameter enable lucene query builder done targeting synonym query parametric meant see difference unless feature enabled solr bit comply thorugh synonymsquerystyles,1800.0
improve line intersection polygon,currently always check triangle intersection polygon without considering boundary totally right might miss intersection polygon triangle touching proposal following point triangle inside polygon consider boundary point inside polygon consider boundary,1800.0
simplify latlonshapexquery api,currently three query object difference object contain latlonshapepolygonquery latlonshapelinequery latlonshapepointquery bit burden whenever want make change class need every one wonder merge three query one,3000.0
simplify posting api removing long metadata,posting api allows store metadata term either long unnecessary information could encoded byte codecs practice,3000.0
nrtcachingdirectory may put large file cache,nrtcachingdirectory assumes length file write merge info flush info correct situation lucene might write large file neither instance stored field written fly iocontext default doesnt flush merge info without taking indexwriter buffer gigabyte could written flush happens bkd tree merged,1800.0
uniformsplit posting format allow extension serializers,currently uniformsplit posting format static read method block line header possible extend change slightly format introducing serializers become possible extend easily format make change,2400.0
report problematic term value fuzzy query complex,lucene compliment fuzzy query get term expands many state throw exception dont provide insight problematic term improve error reporting,3000.0
upgrade make regenerate work,root cause removed python script still reference generated script easy fix last time looked though regenerate produce difference generated file looked insure benign really sure whether lucene solr jira putting lucene since one failed file know one solr file unexplained difference may bleed ant regenerate need machine fwiw,1800.0
miss crossing triangle edge point,line cross triangle edge point crossing detected,1800.0
fix wrong example javadoc terminsetquery,wrong example javadoc terminsetquery patch mergedto master branch,1800.0
solr wordnetsynonymparser behaviour differs,equivalent synonym showing different token type ordering depending whether solr format wordnet format used synonym set like wood wood forest solr format lead following token stream term type analyzing term forest word wood synonym wood synonym following set wordnet format give output term synset however token type synonym original input token forest first one synonym txt token stream wood synonym wood synonym forest synonym think intentional confusing especially original input token type get saw way synset added synonymmap respective parser differes pr change,2400.0
configure branch auto build auto,commit master build publish staging site find simple way trigger publishing main site staging,1800.0
code cleanup pas value list constructor instead empty constructor followed,trivial ticket time precious feel free skip case passing collection another efficient pas already existing collection constructor new one usually deal efficiently,2400.0
add latlondocvaluespointinpolygonquery,currently latlondocvaluesfield contain query bounding box circle issue add polygon query well,1800.0
move compare logic intersectvisitor nearestneighbor,similar move compare logic intersectvisitor take advantage improvement added ran geobenchmark nearest locally change provides improvement around,1800.0
use sort key instead true distance nearestneighbors,nearestneighbors class contains todo switch sloppymath haversinsortkey comparing candidate nearest neighbor change high priority could nice way get familiar knn search implementation,3000.0
catch null term phrasequery early,currently possible build phrasequery single null term go undetected query time nullpointerexception get thrown deep within posting format code catch build time instead,1800.0
backport improved analysis spi name handling,reverted branch backport branch transparent backwards compatibility emulating factory loading method lucene sure would better backport change however maybe good solr without waiting release,2400.0
upgrade icu completed,migrated icu component version however place version number,2400.0
cast blocktermstate param private intblocktermstate,public api offer posting method read posting postingformat use well posting posting method asks public blocktermstate param internally cast tothe private intblocktermstate thisblocktermstate provided public postingsenum postingsfieldinfo fieldinfo blocktermstate termstate postingsenum reuse int flag actually make impossible custom postingformat customizing block file structure use posting method providing intblocktermstate access fp field intblocktermstate returned proposed change either make intblocktermstate public well field orreplace byan interface posting method case intblocktermstate field currently accessed directly would replaced,2400.0
override default implementation intersectvisitor visitdocidsetbuilder byte several query,introduced new method intersectsvisitor interface contains default implementation query override therefore benefit several document leaf associated point issue following query proposed override default implementation latlonshapequery rangefieldquery latlonpointinpolygonquery latlonpointdistancequery pointrangequery pointinsetquery,2400.0
add apis tokenizer charfilter tokenfilter factory get spi name concrete class,currently reflection trick needed obtain spi name stored static name field factory class concrete factory class easy implement logic would much better provide unified apis get spi name factory class word apis would provide inverse operation lookupclassstring method,1800.0
snowball stemmer analyzer estonian language,currently estonian specific stemmer snowballfilter would like add snowball stemmer estonian language also add new language analyzer estonian language based snowball stemmer master branch analyzer implemented,3000.0
parallel iteration list,contains class booleanweight maintains two list repeatedly iterated parallel list length immediately obvious location iterate future change may lead list getting sync would break iteration moreover established language feature iterating two list iteration implemented differently various location throughout class created patch join two list one simplifies iteration unifies implementation place preventsthat two list get sync without becoming aware parallel iteration,3000.0
optimise bkd tree low cardinality leaf,currently leaf bkd tree contains value thenthe leaf treated way value different many case much efficient store distinct value cardinality addition case method byte called time byte arraybut different docid issue proposes add new method interface accepts array doc override implementors gain search performance,3000.0
latlonshapeboundingboxquery could make decision inner node,currently latlonshapeboundingboxquery intersects relation return query contains minimum bounding rectangle indexed triangle think could return box contains either edge mbrs indexed triangle since triangle guaranteed touch edge mbr definition case would help save decoding triangle running costly computation,2400.0
tessellator remove support steiner point,tessellator support steiner point come original porting mapboxs earcut algorithm java using point therefore would better remove addition actually introduces bug polygon hole line al coplanar point case reduced point treated steiner point look wrong case throw error,1800.0
respect file extension listing file form fileswitchdirectory,fileswitchdirectory split file action directory based file extension extension respected write operation like delete create ignored list content directory deduplicated content directory listall cause inconsistency hard debug error due double deletion indexwriter file pending delete one directory still show directory listing form directory case happen directory point underlying directory common usecase split mmap noifs,3000.0
use exponential search intarraydocidset advance method,chatting suggested improve intarraydocidset making advance method use exponential search instead binary search help performance query including conjunction given conjunctiondisi us leap frog itadvances doc id small exponential search faster advancing average compared binary search,3000.0
testindexwriterdelete testdeleteallnodeadlock failure,running core test instance core hit random yet spooky failure reproduce unfortunately maybe subtle thread safety issue code hairy part lucene,2400.0
javadoc search support,javadoc search new feature since java think reason use current lucene java version great help developer looking api documentation elastic search also support lucene nightly core module javadoc change two line change noindex option true false add javadoc argument currently issue like following link need option test ant javadocs module lucene project check javadoc,1800.0
filealreadyexistsexception opening old commit,filterdirectory getpendingdeletes delegate call turn mean indexfiledeleter consider relevant file opening indexwriter older commit excess file attempted deleted indexreader exists using one newer commits excess file may fail delete least window using mocking closing opening indexwriter information pending deletes gone filterdirectory derivate used time pending deletes filtered listall lead risk hitting existing file name causing filealreadyexistsexception issue likely exists window create pull request fix,2400.0
add docvaluecount support sortedsetdocvalues,implement docvaluecount method sortedsetdocvalues see comment,2400.0
prorated early termination,issue well exploit distribution top document among segment extract performance gain using early termination basic idea need collect document every segment merge rather collect number document proportional segment size plus error bound derived combinatorics seen multinomial probability distribution proposed change pointed mailing list patch confounds two setting whether collect hit ensuring correct hit count whether guarantee top hit precisely top current patch treat thing take position user say ok approximate count also ok introduce small chance ranking error occasionally top return may draw top epsilon instead could provide additional knob user currently public api topfieldcollector createsort int fielddoc int threshold parameter control apply early termination allows collector terminate given number document collected instead using threshold control early termination could provide additional parameter example could scale factor error bound eg number standard deviation apply patch us much conservative bound would even value speedup would still result much lower level ranking error value would ensure termination would ever occur could also hide precise numerical bound offer user enum exact approximate count approximate rank control whether apply optimization using predetermined error bound posted patch without tuning since think user already indicated preference speed precision specifying finite global threshold want provide finer control two option seem make sense providing access number standard deviation allow expected distribution give user finest control could hard explain proper use,1800.0
fsdirectory try create mmapdirectory non default file system,lockfactory always assume path created default file system path default file system mmapdirectory wrong choice default file system provide case non default file system simplefsdirectory good choice see bug example,3000.0
allow getting consistent docstats indexwriter,today numdocs maxdoc indexwriter enough get stats current index subject concurrency might return number consistent ie case return maxdoc numdocs undesirable change add getdocstats method index writer allow fetching consistent number stats,3000.0
use sparse bitset store doc singlevaluedocvaluesfieldupdates,using sparse bitset singlevaluedocvaluesfieldudpates allows storing document update much efficient prevents need sort doc array altogether showed significant bottleneck using spare bitset yield another performance improvement applying update versus change proposed,3000.0
specialize single value numeric dv update,case value numeric field update common new infrastucture buffering dv update gain easy win specializing applied update value,3000.0
doesnt expose getdiscountoverlaps,worked intended expose needed public method expose forgot add getdiscountoverlaps,1800.0
leafreader getfieldinfos always return instance,implementation leafreader cache instance fieldinfos returned leafreader getfieldinfos method place currently cause performance problem notable example lack caching slowcompositereaderwrapper caused unexpected performance slowdown trying use json facet compared legacy facet proposed change mostly relevant solr touch lucene class specifically add check testutil checkreader verify leafreader getfieldinfos return instance entirely sure wanted needed adding uncovered leafreader implementation caching fieldinfos happy remove part patch though add fieldinfos empty used handful place several place test creating empty instance fieldinfos causing check fail fix failure clean code bit fix leafreader implementation caching fieldinfos specifically memoryindex memoryindexreader constructor already looping thefields seemed natural create fieldinfos time slowcompositereaderwrapper one causing trouble moved caching fieldinfos solrindexsearcher toslowcompositereaderwrapper collapsingqparserplugin readerwrapper getfieldinfos immediately called twice constructed expandcomponent readerwrapper getfieldinfos immediately called twice constructed minor solr tweak avoid calling solrindexsearcher getslowatomicreader infacetfieldprocessorbyhashdv change optional sinceslowcompositereaderwrapper cache fieldinfos suggested take place since touch lucene code,1800.0
reevaluate script boundary break noris tokenizer,first reported,1800.0
ant test command fails,ant test command executed fails junit classpath property since module test folder could override test target ran issue uploaded patch removed import module triggered build precommit failed error,1800.0
drop support highlighting query,currently depend module due fact try highlight query wrapped block join query current discussion mentioned doesnt make much sense highlighting perspecitve drop support lucene would good time thought,3000.0
new arabic snowball stemmer,added new arabic snowball stemmer based well arabic test dataset testsnowballvocabdata zip input file available also update compatible java class generated last snowball version tree retro compatible version snowball stemmer used lucene ignores already patched class link corresponding github pr edited updated corpus link pr link description,3000.0
clean directory contract,created pr early review changed wording directory documentation bit formalized rule directory obey user modified test framework verify mock class currently number directory implementation fail testreadfileopenforwrites test added ill keep working,1800.0
remove spatial module obsolete,spatial module juncture nearly empty couple utility used anything entire codebase georelationutils mortonencoder perhaps removed earlier removal geopointfield essentially module existed better late never,1800.0
add wrapper class constructor forbiddenapis,wrapper class java primitive boolean byte short character integer long float double constructor always create new object constructor officially deprecated java recommended use public static method since reuse underlying object case constructor added forbiddenapis code corrected use autoboxing call static method valueof parse explicitly,1800.0
blendedinfixsuggester bad score calculus certain suggestion weight,currently blendedinfixsuggester return long score rank suggestion score calculated multiplication long weight suggestion weight coming document field long value including double coefficient calculated based position match earlier better resulting score long mean moment bring inconsistency edge case weight score match beginning suggestion match weight score independently position match coefficient,1800.0
remove memory codecs codebase,memory codecs memorypostings memorydocvalues part random selection codecs test cause occasional ooms test huge data selected dont use memory codecs anywhere outside test suggested remove avoid maintenance cost ooms test,3000.0
worddelimiterfilter pas term marked keywords,help case term containing separator character split others example enable filter identifies thing look like fraction identifies keywords become splitting joining term look like part number containing slash eg something like might sometimes written,2400.0
add intervalquery intervalssource expose minimum interval semantics across term field,ticket proposes alternative implementation spanquery family us minimum interval semantics implement positional query across field rather using termqueries construct interval operator current span implementation instead use new intervalssource object produce intervaliterators particular segment field constructed using various static helper method passed new intervalquery return document contain one interval defined,1800.0
customanalyzer lowercasetokenizerfactory fails normalize multiterms,working unit test relied lowercasetokenizerfactory failed digging able replicate lucene level unit test problem customanalyzer iterates tokenfilters call tokenizer case lowercasetokenizer filtering work,1800.0
simplify conditionals joinutil,following could simplified line,1800.0
redundant conditionals joinutil,joinutil strange conditional structure collapsed one function call line instead advanceexact return boolean indicating successful patch ready pass unit test,1800.0
spatial prefix tree based geometry,hi working prefix tree based goggle geometry used mainly shape promising result particular complex shape using pixelization scheme reduces size index improves performance query reduces loading time shape ok contribution providing code would like understand correct prefered approach add new depency library apache license ok create utility class method necessary navigate tree create shape cell basically port need library think,3000.0
evaluate lucene classification publicly available datasets,lucene classification module need publicly available dataset keep track development woud nice generated fast bigger real world dataset,1800.0
make luke module,see luke need maintainer luke think would great version luke always worked trunk would also great easier match luke jar lucene version like get gwt luke mix well think easiest starting point straight port luke another ui toolkit abstracting dto object gwt luke pivot luke could share started slowly converting use thinlet apache pivot lot time moment plugged away past work two still lot,3000.0
provide window build environment project,version window project file removed repository apr project depends provides static project file would discourage well cmake build environment window generate solution version visual improvement request provide cmake build environment believe would acceptable tie project given folded apr year released web site documentation building visual studio ancient year old also updated,1800.0
rollingfileappender directwriterolloverstrategy work htmllayout,try use rollingfileappender directwriterolloverstrategy htmllayout encountered bug first file written start header layout try specify work around issue encountered nullpointerexception instead create pr github testcase fix attach bug report,2400.0
reduce memory overhead using thread local message,using parameterizedmessagefactory thread local asynchronous logging result unused object parameter array empty stringbuilder buffer update ringbufferlogevent mutablelogevent create stringbuilder buffer parameter array lazily order avoid memory overhead entirely reusable message used,1800.0
log file sometimes overwritten rolling using crontriggeringpolicy,crontriggeringpolicy date pattern file pattern may overwrite previous log file rolling happens randomly example appender definition debug logging see prev file time set twice bug reproducible believe introduced look crontriggeringpolicy rollover see prevfiletime set patternprocessor based based cronexpression getprevfiretimenew problem cronexpression getprevfiretime return wrong date method called date created millisecond actual fire time attached simple test demonstrates see word new date called millisecond schedule scheduled run get correct previous fire time new date called millisecond late get wrong previous fire time current workaround add file pattern way file overwritten lose log file sure fix without breaking fix first glance see following starting point investigation lastrolldate private crontriggeringpolicy rollingfilemanager really know file last rolled crontriggeringpolicy never know log already rolled another policy never know log rolled concurrently another thread therefore lastrolldate correctly determined crontriggeringpolicy part fyi,1800.0
abstractaction catch report runtimeexception possibly error,currently catch ioexception surface failure way,2400.0
exception compacting context rollingfileappender logged,customer reported log file application consuming much disc space analysis found compacting zip file applied need find missing needed error diagnosis message use rollingfileappender following configuration apart zip compression everything else work made effort reproduce issue machine debugging enabled found responsible actual zip compressing point something could go wrong exception would raised far comprehend code exception handled appropriate executed action rollover asyncexecutor action wrapped inner class rollingfilemanager asyncaction top level method catch ioexceptions expected rollingfilemanager asyncaction override method reportexceptionexception abstractaction implementation empty lead assume ioexception zip compacting context rollingfileappender silently ignored would expect exception reported logged warn error level,2400.0
routingappender purge policy stop appenders routingappender created,routing appenders linked reference rather creation node shouldnt cause purge policy stop appender appenders probably immune purging altogether,2400.0
routingappender purge policy race result attempt append closed appender,using routingappender idle timeout policy result intermittently logging encountered combination idlepurgepolicy,2400.0
asyncqueuefullpolicy value short name case insensitive,definitely gotten wrong would expect discard discard matching eventroute valid configuration value,2400.0
syslogappender tl prepending messagelength,want log via syslog log seem length message front message result parser error syslogserver config xml version encoding configuration status info appenders syslog name local host localhost port format newline true id app mdcid ssl truststore location trust jks password testtest ssl syslog appenders logger root level debug appenderref ref local root logger configuration result openssl key private pem cert public pem accept apu localhorst test expected result apu localhorst test,3000.0
support header attribute lookup,since filter read header attribute request limit context quite useful track correlation id without glue code,1800.0
main argument lookup name doesnt work,accessing main argument using index based look work accessing main argument using name based look work trying access name retrieve argument retrieves file,1800.0
add support running livy integration test secure external cluster,add support livy integration test run secure external cluster currently livy integration test test livy functionality minicluster support running external livy endpoint,1800.0
fix rpc channel closed multi client connect one driver,currently driver try support communicating registering client actually connect one driver rpc channel close reason follows every communication client sends two package driver header type id payload sends sends time driver receives package order driver receives driver assigns lastheader driver receives driver process payload cause exception rpc channel closed ha mode design doc session allocated among server consistent hashing new livy join session migrated old livy new livy session client new livy connect driver stoping session client old livy two session client connect driver rpc channel close case hard ensure one client connect one driver time better support connect one driver side effect fix move code processing client message rpcdispatcher rpc register channelrpc rpcdispatcher rpcdispatcher dispatch message rpc according,3000.0
session state always idle though yarn application killed restart livy,create session restart kill yarn application session session state always idle never change killed dead,3000.0
configuration inconsistent livyconf scala,test livy impersonation found value true thought impersonation enabled default however impersonation turned test foundthat real configuration livyconf scala false mislead user,2400.0
rscdriver catch exception cancel job failed shutdown,currently startup meet exception trigger spark shutdown trigger cancel job cancel job throw another exception due spark initialized new exception swallow old exception,2400.0
travis failed create session duplicate name,create session duplicate name failed millisecond false please reference,2400.0
add name owner proxy user web ui,current web ui interactive session list name batch session list name owner proxy user add information user find session quickly,3000.0
rare status happened yarn cause sparkapp change error state,batch session execute successfully return error state livy logwe find error unknown yarn state running app final status succeeded situation yarn state running final status succeeded correct state yarn mapped,2400.0
livy cant handle type correctly,spark table type handle type correctly see output select test livy value reason handle define thecustomserializer,2400.0
upgrade livy jackson dependency,upgrade jackson dependency fix spark also recently upgraded jackson version,2400.0
add test metadata operation,test metadata operation add least one currently implemented,2400.0
rscconf take effect rscdriver,create interactivesessin preparebuilderprop add builderprop afterrscserver started configure modified user take effect,1800.0
livy fail get app id related information using yarn client mode,yarn client mode process never exited sparkyarnapp logic wait process exit query app id since process never exited block logic get app id yarn application information,1800.0
test may fail due different order field returned reflection api,test hashcodebuildertest depends logic reflectionhashcode appends field returned order field appended affect calculated hashcode however guarantee specific order thus test fail order different generates different hash element returned array sorted particular order reference affect hashcodebuildertest testreflectionhashcodeexcludefields hashcodebuildertest testreflectionhierarchyhashcode depend order field returned api,1800.0
add support lambda value evaluation defaulting method,add support lambda value evaluation defaulting method,1800.0
generate builder class diffable diffbuilder diffresult,generify builder class introduction new apis typed object added feel like wrong resolved generic,2400.0
trivial year release say,release history say version correct year change submitted,3000.0
query string encryption password never created due gatewayservices null,work simpledescriptorhandler class moved new maven module break circular dependency stopped however failed add call client invokes,2400.0
discovery need point configured truststore,currently ambari cm discovery us internal http client need ensure ambari cm client configured knox configured http client truststore,2400.0
upgrade groovy,upgrade groovy,1800.0
cm discovery add tl support phoenix auto discovery,tl support added phoenix query server also supported cloudera manager phoenix query server add tl detection phoenix auto discovery,1800.0
token service return response renewer,currently knox token service receives renewal revocation request user responds http response instead respond http better reflect nature error,2400.0
upgrade npm dependency,currently bunch dependency updated admin ui npm provides quick way npm audit fix,1800.0
defaultkeystoreservice lose entry concurrent access,defaultkeystoreservice lose entire concurrent access due read write synchronization issue case keystore read modified written back synchronized handled lock,3000.0
cloudera manager integration advance service discovery handling topology level,knox capable processing property file cm generates list boolean flag enabled service boolean flag valid descriptor topology within topology listed itd beneficial refine behavior following way monitor would handle different property file file name prefix also recommended whoever generates file file name suffix would topology name instance new property introduced property file indicate topology name rely file name suffix keep existing list boolean flag service enablement existing removed longer useful monitor build map property key topology name value list boolean flag service enabled notifies advancedservicediscoveryconfigchangelistener instance change detected,2400.0
cloudera manager integration filter service,knos capable processing hadoop xml configuration file turn content knox provider itd beneficial add support following use case also cloudera manager integration specific cloudera manager report enabled known service list boolean property generated cm indicating enabled following form new hadoop xml configuration parser take information account add certain service generated knox descriptor service explicitly enabled boolean flag within cm generated property service name indicating unknown custom additionally set known expected topology listed cm topology knox descriptor populated enabled name even particular service listed new style hadoop xml configuration file within descriptor match expected topology name service mainly ui service working without required service place mainly api instance rangerui wont work properly ranger available new hadoop xml configuration parser modified add service generated knox descriptor unless required service available required service enabled see previous point,2400.0
